,knowledge
3134,Challenges and financial implications of fleet management
3135,Laws governing IP rights
3136,Tender risk management
3137,Principles of mechanical testing for non-metallic materials
3138,Technology application and usage
3139,Declaration of dangerous goods
3140,Best practices in credit management policies
3141,Downstream processing
3142,Applications of measuring devices and alignment equipment and devices
3143,Key performance metrics of supply chain systems
3144,Common failures of uninterruptible power supply system and its equipment
3145,Roles and responsibilities of risk management team
3146,Descriptive analytics techniques
3147,"Industry best practices and optimal timings for the start-up, operational duration, and shut-down of manufacturing equipment and units"
3148,Types of emergencies in facilities or buildings which require notification to receive support from external agencies
3149,Project objectives and scope
3150,"Operating principles of radars, gyroscopes, echo-sounders and other components of on-board navigation systems"
3151,Incident disclosure requirements
3152,Types of HR technologies
3153,"Pros, cons and applicability of network management tools"
3154,Concepts of fixed and moving block
3155,Basic hydraulic calculations
3156,"Property room types, services, amenities, events and promotions"
3157,Shelf lives of different chemicals and materials used for testing in  laboratories
